"0"
"baboso, -a:adj. dimwit; twit"
"balena:n.f. whale; fat  woman. (lit.: whale)"
"no poder con su alma:idiom. be  exhausted; be fed up; be unable to take it anymore. (lit.: not to be able with  one’s soul)"
"no se oía ni una  mosca:idiom. you could  have heard a pin drop. (lit.: no even a fly could be heard)"
"no tener abuela:idiom. be full of  oneself; blow one’s own horn. (lit.: not to have a grandmother)"
"no tener arte ni  parte:idiom. have  nothing to do with something at all. (lit.: not to have art or part)"
"no tiene caso:idiom. it is  completely pointless; it is a waste of time"
"ñoba:n.m. bath;  bathroom. (reversed form of baño)"
"nota:n.f. grade (in  school). (used in Argentina; given using 1 through 10, with 4 being a passing  grade)"
"nunca se sabe:idiom. you never  know; you never can tell"
"zapán:n.f. belly;  paunch. (reversed form; used affectionately or in a friendly manner)"
"zoquete:n.m/f. dimwit,  blockhead. (lit.: sock; ankle sock)"
"zoquete:adj. dense, dim.  (lit.: sock; ankle sock)"
"zorro:n.m. sharp person.  (lit.: fox)"
"zurrar la badana a  alg. idiom. beat someone up; give  someone a good tanning; tan someone’s hide. (lit.: thrash the tanned sheepskin  of someone)"
"zutano:n.m./f. so-and-so;  somebody or other"
"orno:n. a tight spot.  (used in Argentina)"
"orto:n.m. ass; asshole;  arse; arsehole. (used in Colo del Sur)"
"orto:n.m. ugly man.  (used in Colo del Sur)"
"oso:n.m. bear; large,  heavy person. (lit.: bear)"
"otra vez:idiom. again; once  more"
"vaca:n.f. fat person.  (lit.: cow)"
"vaca:n.f. cow; fat  woman. (lit.: cow)"
"vacas:n.f.pl. vacations.  (abbreviated form)"
"valer la pena:idiom. be worth;  be worthwhile. (lit.: to be worth the pain)"
"venga:int. good idea;  okay. (used in Spain)"
"venir:v. come; have an  orgasm. (lit.: to come; used in the same way as in English)"
"venir a golpe de  alpargata:idiom. walk; hoof  it; go on foot. (lit.: go by slapping sandals)"
"venir como agua de  mayo:idiom. come at  just the right time; be just what you need. (lit.: come like water in May)"
"venir como anillo al  dedo:idiom. be a  godsend; come at just the right time. (lit.: come like a ring to the finger)"
"verga:n.f. penis; dick.  (n.b.: very vulgar and offensive)"
"vergajo:n.m. prick; dick;  cock; wanker. (n.b.: very vulgar and offensive)"
"vergajo:n.m. rat; swine.  (used in the Andes)"
"vinolento:adj. boozy; fond  of drink; fond of the bottle"
"vivir del paro:idiom. live off of  unemployment. (used in Spain)"
"vivir en la luna:idiom. be on cloud  nine; be out to lunch. (lit.: to be on the moon)"
"volverse loco:idiom. go insane;  go mad"
"cabal:adj. strict;  complete(ly), full(ly)"
"cabrón:n.m. ass; asshole.  (lit.: male goat, but refers to a cuckold, a man whose wife or girlfriend has  had sexual relations with another man without his knowing; more details here) "
"caca:n.f. poop;  excrement. (n.b.: colloquial, usually used among children or by adults to  children)"
"cachar:v. catch; get;  obtain. (used in Cono del Sur)"
"caco:n.m. thief; crook;  pickpocket"
"caco:n.m. coward;  scardy-cat"
"cada hijo de vecino:idiom. every Tom,  Dick, and Harry; everyone"
"cada muerte de obispo:idiom. once in a  blue moon; very rarely. (lit.: each time a bishop dies)"
"caer en la cuenta:idiom. realize"
"caer mal:idiom. dislike;  not like. 1. Me cae mal este tipo. "
"caer mal:idiom. dislike;  not like. 1. Me cae mal este tipo. "
"caerle bien a alguien:idiom. look good;  feel good; seem pleasant. (lit.: to fall well to someone)"
"caérsele a alg la  baba con/por algo:idiom. drool over  someone or something; dote on someone; be crazy about someone or something. (lit.:  to left fall slobber over someone or something)"
"caérsele los anillos  a algn:idiom. be beneath  one; be beneath one’s dignity. (lit.: to have one’s rings fall off)"
"cagar:v. shit; poop;  take a crap. (n.b.: vulgar)"
"caja:n.f. pussy;  vagina; cunt (lit.: box) "
"calefa:n.f. heating. (from  calefacción)"
"calentar:v. turn on; arouse (lit.: heat, heat up) "
"callate:idiom. :              shut up; quiet; shove it. (lit.: silence yourself; n.b.:  colloquial)"
"caluroso:n.m./f. warm-blooded;  someone who feels warm easily"
"cambiar babas:idiom. :              kiss; snog; suck face. (lit.: exchange slobber)"
"cambiar de idea:idiom. change  one’s mind. (lit.: to change idea)"
"cambiar de tema:idiom. change  a/the subject"
"camino de:idiom. along the  way, on the way. (lit.: road/path of)"
"caña:n.f. swig; drink;  slug. (lit.: cane, as in sugar cane)"
"caña:n.f. prick; dick.  (lit.: cane, as in sugar cane)"
"cañón:adj. attractive;  appealing; hot (said of men and women)"
"caracoles:int. gosh; darn;  drat. (n.b.: used when surprised or frustrated, often in place of something  stronger)"
"caradura (cara dura):n.f. cheeky  person; person with a lot of nerve; person who doesn’t pay attention to  criticism"
"caramba:int. you know;  come on; wow; hey. (n.b.: used as an interjection for emphasis, it can be  translated in many ways)"
"caramba:int. jeez; damn. (n.b.:  used to express surprise, disgust, or anger)"
"caramelo:n.m./f. sweetheart;  dear. (used in Argentina)"
"caray:int. jeez; damn. (n.b.:  shortened form of ‘caramba’ and used to express surprise, disgust, or anger)"
"cerdo:n.m. pig; fat  woman. (lit.: pig)"
"cerrar algo a cal y  canto:idiom. shut  something tight, firmly, securely"
"chabacano/a:adj. vulgar;  tasteless; gullible"
"chabomba:n.f. women's  underwear; panties. (reversed form of bombacha; used mostly in the Andes and  Cono del Sur regions)"
"chamullar:v. chat; chat up;  talk"
"chamullar:v. bullshit; brag;  make up stories. (used in Cono del Sur)"
"chancha:n.f. pig; fat  woman. (lit.: sow)"
"chanta:n.m./f. loudmouth;  fraud; fake. (used in Cono del Sur)"
"chanta:n.m./f. loudmouth;  fraud. (used in Argentina)"
"chaval, -la:n.m/f. boy/girl;  lad; kid; youngster. (n.b.: used in a wide variety of contexts and situations,  and can be affectionate, endearing, insulting, or pejorative)"
"chavala:n.f. girl; kid"
"chavalo:n.m. boy; kid; lad.  (used in Nicaragua)"
"chavea:n.f. kid; lad"
"che:exclam. hey; man,  friend, boy. (used in the Cono del Sur to greet or call to a person, a group,  or give emphasis to a statement or question, or express surprise)"
"chévere:adj. great,  fantastic. (lit.: goat)"
"chichis:n.m.pl. tits;  titties"
"chiflar el moño a  algn:idiom. be nuts; be  crazy"
"chimar:v. fuck; screw. (used  in Central America)"
"chingar:v. fuck. (n.b.:  used mostly in Mexico; more details here)"
"chiquero:n.,m. pigpen;  pigsty; disgusting room or place"
"chori:n.m. chorizo"
"chorro:n.m. luck; good  luck"
"chulada:n.f. very cute or  cool thing. (used in Spain)"
"chulo:adj. cute; cool;  fun. (used in Spain)"
"chulo:adj. lovely;  pretty. (used in Mexico)"
"chumino:n.m. cunt"
"chupa:n.m. teacher's pet"
"chupamedia:n.m. teacher's pet"
"churro:n.m. attractive,  appealing man. (used in Argentina)"
"chusma:n.f. rabble, plebe.  (n.b.: chusma as an adjective is used to mean gossipy , and as a noun, to mean  gossip in the Rio Plata region)"
"cielos:idiom. heavens; oh  my gosh. (lit.: heavens; n.b.: used when surprised, often in place of something  vulgar)"
"cien por cien:idiom. 100%; with  certainty; precisely. (lit.: one-hundred by one-hundred)"
"cita a ciegas:n.f. blind date"
"cita ciega:n.f. blind date"
"claro que sí:idiom. of course;  yes; indeed"
"cocerse en un propia  salsa:idiom. stew in  one's (own) juice"
"coger:v. fuck; have  sexual relations with. (n.b.: used in Latin America; the word means ""to  catch"" or ""to take"" in Spain, and the verb ""recoger""  or ""tomar"" is used in Latin America to replace much of what coger is  used for)"
"coger el toro por los  cuernos:idiom. grab the  bull by the horns. (n.b.: coger is used only in Spain)"
"cole:n.m. school. (abbr.  of colegio)"
"cole:n.m. college. (from  colegio; student slang)"
"cole:n.m. high school.  (n.b.: abbreviated from colegio)"
"comer a deshora:idiom. eat at odd  times"
"comida chatarra:n.f. junk food. (used  in Mexico)"
"como agua para  chocolate:idiom. furious;  enraged. (lit.: like water for chocolate)"
"como de costumbre:idiom. as usual. (lit.:  as of custom)"
"como Dios manda:idiom. the way  it's supposed to be"
"como perro en barrio  ajeno:idiom. out of  place; in the wrong neighborhood. (lit.: like a dog in a distant neighborhood;  i.e.: people who try to enter other parts of society may be attacked or  ostracized)"
"como quitarle un pelo  al gato:idiom. a  victimless crime. (lit.: like removing a hair from a cat; i.e.: the quantity in  question is so small that it has no significant effect and goes unnoticed)"
"como si no fuera poco:idiom. as if it  were not enough"
"como siempre:idiom. as usual;  as always"
"como un oro:idiom. like new"
"como un perro:idiom. like a dog;  like scum; in the gutter"
"como una balsa de  aceite:idiom. smoothly;  swimmingly; peacefully. (lit.: like a pool of oil)"
"como una rosa:idiom. fresh as a  daisy; soft as silk. (lit.: like a rose)"
"compu:n.f. computer. (used  in Argentina)"
"con anticipación:idiom. in advance;  ahead of time"
"con apuros:idiom. with  difficulty"
"con permiso:idiom. with (your)  permission"
"con toda la barba:idiom. real; the  real deal; honest to goodness; true. (lit.: with all the beard)"
"concha:n.f. cunt; vagina;  woman's sexual organ. (used in Latin America, esp. Argentina with this meaning;  used elsewhere to mean ""shell"" and as a woman's name; not that  ""caracol"" is used to replace ""concha"")"
"coño:n.m. cunt; vagina.  (n.b.: vulgar)"
"consultarlo con la  almohada:idiom. sleep on it.  (lit.: consult about something with the pillow)"
"contar con:idiom. count on"
"correr la bola:idiom. spread the  word; put out the word"
"cortar el bacalao:idiom. call the  shots. (lit.: to cut the codfish; n.b.: Spain usage)"
"cortar las alas a alg. idiom. clip someone’s wings; nip  something in the bud. (lit.: cut the wings of someone or something)"
"corto de luces:idiom. dim; dull;  stupid"
"cotilla:n.f. gossip. (used  in Spain)"
"cuando pueda:idiom. when you  can; when you have a moment"
"cuanto antes:idiom. as soon as  possible. (lit.: as much before)"
"cuatro gatos:idiom. a handful  of people; half a dozen people; a small group of people. (lit.: four cats)"
"culo:n.m. ass; butt;  bum; backside; bottom. (n.b.: popular and vulgar; in Argentina, also used to  mean luck or ugly)"
"currar:v. work. (used in  Spain)"
"curro:n.m. work. (used  in Spain)"
"cursi:adj. corny;  prissy; soppy"
"curvas:n.f.pl. curves;  physical traits of a woman"
"haberse de sentar:idiom. hit the  spot; agree with (someone)"
"hablar de:idiom. talk about"
"hablar de bueyes  perdidos:idiom. waste one's  breath; chat about little things. (n.b.: used in Cono del Sur)"
"hacer a pelo y pluma:idiom. be AC/DC"
"hacer alharacas:idiom. make a  fuss; make a big deal about. (lit.: to make a fuss)"
"hacer caca:idiom. :              make a poop; do a number 2. (n.b.: colloquial, usually used  by children or by adults to children)"
"hacer caso:idiom. pay  attention to. (lit.: to make a case)"
"hacer chapuzas:idiom. do odd  jobs; do occasional work"
"hacer compras:idiom. shop; do  (the) shopping. (lit.: to make/do purchases)"
"hacer coro a algn:idiom. back  someone up"
"hacer del cuerpo:idiom. defecate;  move one's bowels. (n.b.: euphemism)"
"hacer el amor con:idiom. make love  with someone"
"hacer el favor:idiom. do a favor.  (lit.: to do the favor. Note that this can, as in English, be used to give  someone a command or order)"
"hacer el sol:idiom. the sun  rises. (lit.: to make the sun)"
"hacer falta:idiom. be  necessary; must. (lit.: to do the lack)"
"hacer fiaca:idiom. sleep in;  stay home for the peace and quiet. (used in Argentina)"
"hacer frente:idiom. confront. (lit.:  to do the front)"
"hacer la barba a alg:idiom. suck up to  someone; butter someone up. (lit.: to do the beard to someone)"
"hacer la compra:idiom. do the  shopping; buy groceries"
"hacer la cusqui:idiom. bug; annoy;  irritate"
"hacer la vista gorda:idiom. ignore;  overlook. (lit.: to do the fat look. The idea here being of indulgence, the way  a parent or grandparent might look at a misbehaving child)"
"hacer las compras:idiom. do the shopping"
"hacer las maletas:idiom. pack; pack  a suitcase. (lit.: to do the suitcases)"
"hacer las paces:idiom. make up;  make peace. (lit.: to make the peace(s))"
"hacer pucheros:idiom. pout; screw  up one's face"
"hacer su agosto:idiom. make a  killing; make serious coin; hit the jackpot. (lit.: to make/do one’s August)"
"hacer toros:idiom. cut class;  skip class. (lit.: to the bulls)"
"hacer trampa(s):idiom. cheat. (lit.:  to do traps)"
"hacer un papel:idiom. play a  role; play a part"
"hacer un papelón:idiom. make a fool  of oneself; embarras oneself. (lit.: to make a large role)"
"hacer un simpa:idiom. leave a  restaurant without paying"
"hacer un toro:idiom. stand in  for somebody (in a theatrical production). (lit.: to do the bull)"
"hacerle frente a  alguien:idiom. face  someone. (lit.: to make facing to someone)"
"hacerse cargo de:idiom. take charge  of; pay for; realize"
"hacerse ilusiones:idiom. get one's  hopes up"
"hacerse una paja:idiom. :              masturbate; do oneself. (lit.: to make hay; n.b.:  colloquial)"
"hasta donde:idiom. as far as.  (lit.: up to when)"
"hecho una hiena:idiom. furious;  enraged"
"hermanos de leche:n.m.pl. milk  brothers. (said of two men who have had sexual relations with the same woman  and know that they have done so)"
"hermosura:n.f. knock-out;  hottie. (used mostly in Latin America)"
"hija de papá:idiom. rich kid;  rich girl"
"hijo de papá:idiom. rich kid;  rich boy"
"hijo de puta:idiom. :              son of a bitch. (lit.:   son of a whore, whoreson; n.b.:   this is a very offensive insult in the Spanish-speaking world, though  usage differs, some people will use it as an exclamations, when falling or  being struck by accident)"
"hijo(s):int. Christ; good  God; damn. (used in Mexico)"
"híjole:int. Christ; good  God; damn. (used in Mexico)"
"historia:n.f. relationship;  affair. (used in Spain)"
"hoja:n.f. paper; piece  of paper. (used in Cono del Sur)"
"hostía:n.f. argh; damn. (lit.:  communion wafer; n.b.: used to indicate disgust or frustration)"
"hoy mismo:idiom. today. 1. Hazlo hoy mismo. "
"dar a entender:idiom. let someone  know"
"dar a la luz:idiom. give birth.  (lit.: to give to the light)"
"dar cabilla:v. fuck; screw;  have sex with"
"dar la bienvenida:idiom. welcome. (lit.:  to give the welcome)"
"dar la lata:idiom. be a  nuisance; annoy. (lit.: to give the tin)"
"dar lástima:idiom. make  someone sad (to). (lit.: to give pain/sadness)"
"dar luz verde:idiom. give a  green light to; permit; allow; clear"
"dar muerte a:idiom. kill  someone"
"dar nacimiento a:idiom. give rise  to"
"dar palo:idiom. hate;  dislike; be unfortunate"
"dar permiso:idiom. permit;  allow; give permission"
"dar risa:idiom. make one  laugh; make one smile"
"dar un paseo a  caballo:idiom. go  horseback riding; ride a horse"
"dar un patatús a  alguien:idiom. make  someone have a fit. (lit.: to give someone a fit)"
"dar un salto:idiom. jump; give  a start; start. (lit.: to give a jump)"
"dar un vergajo:idiom. screw;  fuck; have sex with; shag"
"dar una de cal y otra  de arena:idiom. use a  carrot-and-stick policy"
"dar una fiesta:idiom. give a  party"
"dar una vuelta:idiom. go for a  ride"
"dar vida a:idiom. portray;  play. (i.e.: an actor playing a role)"
"darle a alguien mala  espina:idiom. make  someone feel uneasy. (lit.: to give bad thorns to someone)"
"darse cuenta de:idiom. be aware;  realize. (lit.: to give oneself account of)"
"darse por vencido:idiom. give up;  give in. (lit.: to give oneself as defeated)"
"darse prisa:idiom. hurry;  rush; do (something) fast. (lit.: to give one urgency)"
"de abrigo:idiom. a handful;  someone to watch out for. (lit.: coat, overcoat)"
"de ahí en adelante:idiom. from now  on; from here onward. (lit.: from here in forward)"
"de ahora en adelante:idiom. from now  on; henceforth; from this moment forward. (lit.: from now in advance)"
"de armas tomar:idiom. formidable;  tough; redoubtable. (lit.: for taking up arms)"
"de buena gana:idiom. willingly;  with ease; with pleasure. (lit.: of good desire)"
"de buenas a primeras:idiom. suddenly;  without warning"
"de cal y canto:idiom. strong;  firm"
"de costumbre:idiom. as usual;  normally"
"de cuando en cuando:idiom. from time  to time; sometimes; once in a while. (lit.:   of when in when)"
"de diario:idiom. everyday"
"de golpe:idiom. suddenly;  abruptly; at once; all at once. (lit.: of a blow or strike)"
"de hecho:idiom. in fact, in  reality. (lit.: of fact). 1. De hecho, qiuero ir contigo. "
"de inmediato:idiom. right now,  immediately. (lit.: from immediately)"
"de miedo:idiom. fantastic(ally);  wonderful(ly); brilliant(ly). (used in Spain)"
"de moda:idiom. in fashion;  in style"
"de modo que:idiom. so; so that"
"de mucho cuidado:idiom. big; terrible;  real. (used adverbially)"
"de nada:idiom. not at all;  you’re welcome; don’t mention it. (n.b.: often said in response to “gracías”)"
"de nuevo:idiom. again; once  again; anew. (lit.: of new)"
"de oro:idiom. great;  good; very good; wonderful. 1. Ella tiene una voz de oro."
" de par en par:idiom. wide open.  (lit.: from rafter to rafter)"
"de perlas:idiom. just what  someone needs; just right; go/fit perfectly. (lit.: of pearls)"
"de perros:idiom. foul;  horrible; dirty"
"de pocas luces:idiom. dim; dull;  stupid"
"de pronto:idiom. suddenly;  at once; all at once. (lit.: of soon)"
"de puta madre:idiom. :              bitchin’; fucking great. (n.b.: used in Spain in the 1980s)"
"de repente:idiom. abruptly,  suddenly. (lit.: of soon)"
"de tal palo, tal  astilla:idiom. like  father, like son. (lit.: of such a broom, such a splinter)"
"de todas maneras:idiom. in any  case; anyway"
"de todos modos:idiom. anyway; at  any rate. (lit.: to the monkfish)"
"de un modo u otro:idiom. one way or  another"
"de un momento a otro:idiom. at any  moment"
"de una vez:idiom. now"
"de veras:idiom. really,  truly. (lit.: of fact, truth)"
"de vez en cuando:idiom. sometimes;  now and then. (lit.: from once in when)"
"decir amén a todo:idiom. say yes to  everything; agree to everything. (lit.: to say amen to everything)"
"decir en broma:idiom. kid; joke;  tease. (lit.: to say (as a) joke)"
"dejar a alg en las  astas del toro:idiom. leave  someone high and dry; leave someone in the lurch. (lit.: to leave someone on  the horns of the bull)"
"dejar de lado:idiom. set aside;  put aside. (lit.: to leave from (the) side)"
"dejar en paz:idiom. leave  alone; leave be; let it be. (lit.: to leave in peace)"
"demonios:n.m.pl. drat; darn  it. (lit.: demons; n.b.: used as a euphemism for stronger interjections and  expletives)"
"desa:n.m. breakfast"
"desde hacía rato:idiom. for some  time"
"desde luego:idiom. of course;  certainly. (lit.: after then/later)"
"deshora:n.f. odd time of  day or night; off hours. (usually refers to late night hours)"
"despelote:n.m. mess;  disaster. (used in Latin America)"
"di que sí:idiom. go for it"
"diantre:int. drat; darn it.  (euphemism for stronger phrases)"
"dies:n.m./f. great  person. (used in Argentina). 1. Mi prof es un dies. "
"dobolu/a:adj. thick; stupid. (back slang; used mainly in the Cono del Sur)"
"dobolu/a:n.m/f. asshole;  jerk:              back slang; used mainly in the Cono del Sur)"
"Don Fulano:n.m. Mr. So-and-so"
"don Nadie:n.m. nobody;  loser; a person of little importance or power. (lit.: don/mr. Nothing. Used  throughout the Spanish-speaking world. "
"Doña Fulana:n.f. Mrs.  So-and-so"
"dormir el vino:idiom. sleep off a  hangover"
"dormir juntos:idiom. sleep  together. (n.b.: in the sexual sense)"
"dulce de leche:n.m. sweet; great;  wonderful. (used to describe someone or something that is appealing, and often  sweet in taste)"
"dulce de leche:n.m./f. attractive,  appealing person. (used in Argentina)"
"durano:n.m./f. dumb  person. (used in Argentina)"
"qué cosa:idiom. what a  situation; what a mess"
"qué lástima:idiom. what a  shame; what a pity"
"que onda:idiom. :              what’s up? what’s going on?. (lit.: what wave?)"
"que onda:idiom. what's up;  what's going on. (lit.: what wave, and used as a question; n.b.: most common in  Mexico)"
"qué sé yo:idiom. whatever,  and so on. (lit.: what I know, as if I know)"
"que te mueres:idiom. fantastic;  great; to die for"
"quedarse bien:idiom. look good  on; fit well; suit"
"querer decir:idiom. mean; want  to say"
"queso:n.m. klutz; putz;  clumsy fool"
"quilombo:n.m. brothel;  mess; disaster. (used in the Andes and Cono del Sur regions)"
"quitar el sombrero  hasta alg. idiom. doff one’s hat  to; take one’s hat of (in recognition of admiration)"
"pagar a plazos:idiom. pay for  something in installments"
"painte:n.m./f. pain in  the neck; nuisance"
"paja:n.f. masturbation;  jacking off. (lit.: ""straw""; used in the sexual sense, and quite  vulgar)"
"pajero/a:adj. masturbator;  vague. (from ""paja""; vulgar)"
"palo:n.m. million  pesos. (used in Argentina)"
"palo:n.m. nightmare;  bummer"
"palo:n.m. blow; strike;  punch"
"palo de escoba:n.m. beanpole;  very skinny person. (lit.: broomstick)"
"panqueque:n.m. flake; ditz;  flip-flopper. (used to describe someone who changes his/her ideas, opinions, or  views on all manner of subjects frequently and rapidly; often used to describe  politicians)"
"papa:n.m. dad, daddy,  pop. (n.b.: very common throughout the Spanish-speaking world. Papa is more  familiar, and in a sense less respectful, than padre)"
"papa:n.f. piece of  cake; cake walk. (used to describe something that is or was quite easy or is  going or went quite well)"
"papa frita:n.f. idiot; twit;  dimwitt. (lit.: french fry; used mostly in the Cono del Sur region)"
"papafrita:n.m./f. dumb  person. (used in Argentina)"
"papanatas:n.f. halfwit,  nitwit"
"para colmo de  desgracias:idiom. to top it  all; to top it off. (lit.: for the height of disgrace)"
"para colmo de males:idiom. to make  matters worse"
"para diario:idiom. everyday"
"para ya:int. stop it; cut  it out. (used in Spain)"
"parcial:n.m. exam that  covers part of what is taught in a class or course (usually written). (used in  Argentina)"
"pardal:n.m. rogue;  rascal; sly person. (lit.: sparrow)"
"parecer otro/-a:idiom. look great;  look fantastic"
"paro:n.m. unemployment.  (used in Spain)"
"partirse el alma:idiom. make  someone’s heart bleed. (lit.: my soul is separated from me)"
"pasado de moda:adj. outdated;  passe; out of fashion"
"pasar:v. pass an exam.  (used in Argentina)"
"pasar a buscar:idiom. pick up;  collect; get"
"pasar de la raya:idiom. cross the  line. (lit.: to pass over the line)"
"pasar el mono a pelo:idiom. go cold  turky"
"pasar por alto:idiom. pass over;  overlook; ignore. (lit.: to pass by high)"
"pasarlo bomba:idiom. have a  great time. (lit.: to pass the bomb)"
"pavo:n.m. academically  brilliant person with few social skills"
"payaso:n.m. idiot; twit.  (used in Spain)"
"pederse:v. fart"
"pedir la luna:idiom. ask the  impossible. (lit.: to ask for the moon)"
"pedo:n.m. fart"
"pedo/-a:adj. smashed;  wasted. (used in Spain)"
"peerse:v. fart. (n.b.:  variant of pederse)"
"pega:n.f. work. (used  in Chine)"
"pegar el ojo:idiom. fall  asleep; sleep. (lit.: to stick the eye; n.b.: pegar appears in a number of  idiom.s involving physical contact, or even strikes or blows)"
"pelas:n.f.pl. dough;  cash; money. (n.b.: used in Spain in place of “peseta” before the introduction  of the Euro)"
"peli:n.f. film; movie.  (from pelicula)"
"peli:n.f. film; flick.  (abbr. from película)"
"pelín:n.m. a little.  (used in Spain)"
"pelma:n.m. bore; pain in  the neck. (used in Spain)"
"perder la cabeza:idiom. fall madly  in love with someone"
"perdido:adj. total;  complete; total"
"perejil:n.m. stupid  person; idiot; twit. (lit.: parsley)"
"perejil:n.m./f. dumb  person. (used in Argentina)"
"perra:n.f. bitch;  annoying woman; difficult, unappealing woman. (lit.: female dog; applies to  women only)"
"perra:n.f. bad woman;  bitch; irritating woman"
"perro:n.m. dog; poor  performer; screw-up. (lit.: dog; applies to men only)"
"perro:n.m. poor  performer. (used for sports players, singers, etc.)"
"peruca:n.m./f. Peruvian  person. (back slang; used in Argentina; generally insulting)"
"pesado/-a:n.m./f. bore; pain  in the neck"
"pescado:n.m. dog; ugly  person; unappealing person"
"petardo:adj. boring;  annoying. (used in Spain)"
"petardo/-a:n.m./f. jerk;  bore. (used in Spain)"
